B_COUNTRY_,FIPS_ADMIN_banding,E_COUNTRY_,FIPS_ADMIN_Recov,Group_spec,Total
VI,VI,FR,FRB7,Sandpipers and Charadriidae,1
VI,VI,NL,NL02,Sandpipers and Charadriidae,1
VI,VI,NL,NL10,Sandpipers and Charadriidae,1
AA,AA,AA,AA,"Gulls, terns, and allies (Laridae)",2
BD,BD,US,US34,Sandpipers and Charadriidae,1
CA,CA01,BF,BF,"Ducks, geese, and swans (Anatidae)",1
CA,CA01,CA,CA01,"Ducks, geese, and swans (Anatidae)",808
CA,CA01,CA,CA01,Grebes (Podicipedidae),2
CA,CA01,CA,CA01,"Gulls, terns, and allies (Laridae)",142
CA,CA01,CA,CA02,"Ducks, geese, and swans (Anatidae)",19
CA,CA01,CA,CA02,Grebes (Podicipedidae),1
CA,CA01,CA,CA02,"Gulls, terns, and allies (Laridae)",8
CA,CA01,CA,CA03,"Ducks, geese, and swans (Anatidae)",96
CA,CA01,CA,CA03,Grebes (Podicipedidae),1
CA,CA01,CA,CA05,"Gulls, terns, and allies (Laridae)",1
CA,CA01,CA,CA08,"Ducks, geese, and swans (Anatidae)",76
CA,CA01,CA,CA08,Grebes (Podicipedidae),1
CA,CA01,CA,CA10,"Ducks, geese, and swans (Anatidae)",6
CA,CA01,CA,CA11,"Ducks, geese, and swans (Anatidae)",89
CA,CA01,CA,CA11,"Gulls, terns, and allies (Laridae)",12
CA,CA01,CA,CA13,"Ducks, geese, and swans (Anatidae)",3
CA,CA01,CA,GH09,"Gulls, terns, and allies (Laridae)",1
CA,CA01,CU,CU01,"Ducks, geese, and swans (Anatidae)",1
CA,CA01,CU,CU08,"Ducks, geese, and swans (Anatidae)",1
CA,CA01,EC,EC14,"Gulls, terns, and allies (Laridae)",1
CA,CA01,ES,ES07,"Ducks, geese, and swans (Anatidae)",1
CA,CA01,ES,ES11,"Ducks, geese, and swans (Anatidae)",3
CA,CA01,ES,ES08,"Ducks, geese, and swans (Anatidae)",1
CA,CA01,GH,GH09,"Ducks, geese, and swans (Anatidae)",4
CA,CA01,GT,GT12,"Ducks, geese, and swans (Anatidae)",1
CA,CA01,GT,GT20,"Ducks, geese, and swans (Anatidae)",1
CA,CA01,GT,GT22,"Ducks, geese, and swans (Anatidae)",1
CA,CA01,HO,HO02,"Ducks, geese, and swans (Anatidae)",1
CA,CA01,JM,JM14,"Ducks, geese, and swans (Anatidae)",1
CA,CA01,MX,MX01,"Ducks, geese, and swans (Anatidae)",1
CA,CA01,MX,MX02,"Ducks, geese, and swans (Anatidae)",13
CA,CA01,MX,MX02,"Gulls, terns, and allies (Laridae)",1
CA,CA01,MX,MX04,"Ducks, geese, and swans (Anatidae)",2
CA,CA01,MX,MX05,"Ducks, geese, and swans (Anatidae)",2
CA,CA01,MX,MX06,"Ducks, geese, and swans (Anatidae)",7
CA,CA01,MX,MX06,"Gulls, terns, and allies (Laridae)",1
CA,CA01,MX,MX07,"Ducks, geese, and swans (Anatidae)",3
CA,CA01,MX,MX10,"Ducks, geese, and swans (Anatidae)",5
CA,CA01,MX,MX11,"Ducks, geese, and swans (Anatidae)",5
CA,CA01,MX,MX11,"Gulls, terns, and allies (Laridae)",2
CA,CA01,MX,MX12,"Ducks, geese, and swans (Anatidae)",9
CA,CA01,MX,MX13,"Ducks, geese, and swans (Anatidae)",8
