"state","state_first_infection","country","level1_name","n"
"Alabama",2022-02-23,"Canada","New Brunswick",18
"Alabama",2022-02-23,"Canada","Newfoundland and Labrador",20
"Alabama",2022-02-23,"Canada","Nova Scotia",37
"Alabama",2022-02-23,"Canada","Prince Edward Island",15
"Alabama",2022-02-23,"United States of America","Connecticut",1
"Alabama",2022-02-23,"United States of America","Delaware",1
"Alabama",2022-02-23,"United States of America","Florida",1
"Alabama",2022-02-23,"United States of America","Indiana",9
"Alabama",2022-02-23,"United States of America","Iowa",2
"Alabama",2022-02-23,"United States of America","Kentucky",5
"Alabama",2022-02-23,"United States of America","Maine",4
"Alabama",2022-02-23,"United States of America","Maryland",1
"Alabama",2022-02-23,"United States of America","New Hampshire",1
"Alabama",2022-02-23,"United States of America","New York",7
"Alabama",2022-02-23,"United States of America","North Carolina",8
"Alabama",2022-02-23,"United States of America","Virginia",3
"Alaska",2022-04-26,"Canada","Alberta",122
"Alaska",2022-04-26,"Canada","British Columbia",14
"Alaska",2022-04-26,"Canada","Manitoba",46
"Alaska",2022-04-26,"Canada","New Brunswick",47
"Alaska",2022-04-26,"Canada","Nova Scotia",30
"Alaska",2022-04-26,"Canada","Ontario",75
"Alaska",2022-04-26,"Canada","Prince Edward Island",24
"Alaska",2022-04-26,"Canada","Québec",106
"Alaska",2022-04-26,"Canada","Saskatchewan",74
"Alaska",2022-04-26,"Japan","Akita",2
"Alaska",2022-04-26,"Japan","Aomori",2
"Alaska",2022-04-26,"Japan","Hokkaido",2
"Alaska",2022-04-26,"United Kingdom","England",236
"Alaska",2022-04-26,"United Kingdom","Scotland",178
"Alaska",2022-04-26,"United Kingdom","Wales",5
"Alaska",2022-04-26,"United States of America","Alabama",1
"Alaska",2022-04-26,"United States of America","Colorado",7
"Alaska",2022-04-26,"United States of America","Connecticut",5
"Alaska",2022-04-26,"United States of America","Delaware",8
"Alaska",2022-04-26,"United States of America","Florida",13
"Alaska",2022-04-26,"United States of America","Idaho",6
"Alaska",2022-04-26,"United States of America","Illinois",7
"Alaska",2022-04-26,"United States of America","Indiana",18
"Alaska",2022-04-26,"United States of America","Iowa",41
"Alaska",2022-04-26,"United States of America","Kansas",13
"Alaska",2022-04-26,"United States of America","Kentucky",5
"Alaska",2022-04-26,"United States of America","Maine",27
"Alaska",2022-04-26,"United States of America","Maryland",12
"Alaska",2022-04-26,"United States of America","Massachusetts",5
"Alaska",2022-04-26,"United States of America","Michigan",20
"Alaska",2022-04-26,"United States of America","Minnesota",150
"Alaska",2022-04-26,"United States of America","Missouri",22
"Alaska",2022-04-26,"United States of America","Montana",13
"Alaska",2022-04-26,"United States of America","Nebraska",19
"Alaska",2022-04-26,"United States of America","New Hampshire",5
"Alaska",2022-04-26,"United States of America","New Jersey",1
"Alaska",2022-04-26,"United States of America","New York",30
"Alaska",2022-04-26,"United States of America","North Carolina",28
"Alaska",2022-04-26,"United States of America","North Dakota",28
"Alaska",2022-04-26,"United States of America","Ohio",4
"Alaska",2022-04-26,"United States of America","Pennsylvania",9
"Alaska",2022-04-26,"United States of America","South Dakota",91
"Alaska",2022-04-26,"United States of America","Tennessee",1
"Alaska",2022-04-26,"United States of America","Texas",3
"Alaska",2022-04-26,"United States of America","Utah",5
"Alaska",2022-04-26,"United States of America","Vermont",3
"Alaska",2022-04-26,"United States of America","Virginia",3
"Alaska",2022-04-26,"United States of America","Wisconsin",31
"Alaska",2022-04-26,"United States of America","Wyoming",13
"Arizona",2022-06-07,"Canada","Alberta",102
"Arizona",2022-06-07,"Canada","British Columbia",59
"Arizona",2022-06-07,"Canada","Manitoba",45
