"state","first_infection","iso_code","country","region","Outbreak_id","Latitude","Longitude","Outbreak_start_date","level3_name","level2_name","level1_name"
"South Carolina",2021-12-30,"CAN","Canada","Americas","ob_94254","47.56","-52.72",2021-12-09,"St. John's","Division No. 1","Newfoundland and Labrador"
"South Carolina",2021-12-30,"CAN","Canada","Americas","ob_94254","47.56","-52.72",2021-12-09,"St. John's","Division No. 1","Newfoundland and Labrador"
"South Carolina",2021-12-30,"CAN","Canada","Americas","ob_94254","47.56","-52.72",2021-12-09,"St. John's","Division No. 1","Newfoundland and Labrador"
"South Carolina",2021-12-30,"CAN","Canada","Americas","ob_94254","47.56","-52.72",2021-12-09,"St. John's","Division No. 1","Newfoundland and Labrador"
"South Carolina",2021-12-30,"CAN","Canada","Americas","ob_94254","47.56","-52.72",2021-12-09,"St. John's","Division No. 1","Newfoundland and Labrador"
"South Carolina",2021-12-30,"CAN","Canada","Americas","ob_94254","47.56","-52.72",2021-12-09,"St. John's","Division No. 1","Newfoundland and Labrador"
"North Carolina",2022-01-20,"PRT","Portugal","Europe","ob_94554","39.377532","-9.151074",2021-12-22,"Óbidos (Santa Maria)","Óbidos","Leiria"
"North Carolina",2022-01-20,"PRT","Portugal","Europe","ob_94738","39.498699","-8.351279",2021-12-28,"Praia Do Ribatejo","Vila Nova da Barquinha","Santarém"
"North Carolina",2022-01-20,"PRT","Portugal","Europe","ob_94883","38.028361","-8.696194",2022-01-01,"Santiago Do Cacém","Santiago do Cacém","Setúbal"
"North Carolina",2022-01-20,"PRT","Portugal","Europe","ob_94970","39.246206","-8.585786",2021-12-30,"Alpiarça","Alpiarça","Santarém"
"North Carolina",2022-01-20,"CAN","Canada","Americas","ob_95205","47.5473","-52.7808",2021-12-31,"St. John's","Division No. 1","Newfoundland and Labrador"
"North Carolina",2022-01-20,"PRT","Portugal","Europe","ob_95444","39.457489","-8.431465",2022-01-10,"Vila Nova Da Barquinha","Vila Nova da Barquinha","Santarém"
"North Carolina",2022-01-20,"USA","United States of America","Americas","ob_95459","32.596","-80.459",2021-12-30,NA,"Colleton","South Carolina"
"North Carolina",2022-01-20,"PRT","Portugal","Europe","ob_95611","39.44223","-8.312721",2022-01-13,"Santa Margarida Da Coutada","Constância","Santarém"
"North Carolina",2022-01-20,"PRT","Portugal","Europe","ob_95717","38.07978","-8.78044",2022-01-15,"Santo André","Santiago do Cacém","Setúbal"
"North Carolina",2022-01-20,"PRT","Portugal","Europe","ob_95957","39.37379","-9.339604",2022-01-10,"Ferrel","Peniche","Leiria"
