"level1_name","date"
"South Carolina",2021-12-30
"North Carolina",2022-01-20
"Virginia",2022-02-01
"Maryland",2022-02-02
"Indiana",2022-02-07
"New York",2022-02-07
"New Hampshire",2022-02-09
"Delaware",2022-02-09
"Kentucky",2022-02-09
"Maine",2022-02-14
"Connecticut",2022-02-16
"Florida",2022-02-17
"Iowa",2022-02-17
"Michigan",2022-02-22
"Alabama",2022-02-23
"New Jersey",2022-02-23
"Missouri",2022-02-27
"Massachusetts",2022-03-01
"Tennessee",2022-03-01
"Ohio",2022-03-02
"South Dakota",2022-03-03
"Nebraska",2022-03-05
"Illinois",2022-03-06
"Kansas",2022-03-09
"Wisconsin",2022-03-13
"Texas",2022-03-18
"Pennsylvania",2022-03-24
"Colorado",2022-03-24
"Minnesota",2022-03-25
"Wyoming",2022-03-25
"North Dakota",2022-03-27
"Montana",2022-03-29
"Idaho",2022-04-01
"Vermont",2022-04-07
"Utah",2022-04-11
"Washington",2022-04-25
"Alaska",2022-04-26
"Oklahoma",2022-04-28
"Oregon",2022-04-29
"Georgia",2022-05-26
"District of Columbia",2022-06-03
"Arizona",2022-06-07
"Nevada",2022-06-28
"Rhode Island",2022-07-06
"California",2022-07-14
"Mississippi",2022-09-10
"New Mexico",2022-10-01
"Arkansas",2022-10-06
"Louisiana",2022-10-13
"West Virginia",2022-12-16
